#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-04-03T20:01:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ac3dc3b1b7c5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+AS/130/65&tab:{J/A+AS/130/65/lcb98cor}&key:source=J/A+AS/130/65/lcb98cor&HTTPPRM:&
#-source=J/A+AS/130/65/lcb98cor
#-order=I
#-out=Teff
#-out=logg
#-out=[Fe/H]
#-out=U-B
#-out=B-V
#-out=V-R
#-out=V-I
#-out=V-K
#-out=R-I
#-out=J-H
#-out=J-K
#-out=J-L
#

#RESOURCE=yCat_41300065
#Name: J/A+AS/130/65
#Title: A standard stellar library. II. (Lejeune+ 1998)
#Table	J_A_AS_130_65_lcb98cor:
#Name: J/A+AS/130/65/lcb98cor
#Title: All files lcb98*.cor: Synthetic colors from corrected Stellar Energy Distributions (SEDS)
#Column	Teff	(F6)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F6.2)	Surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F4.1)	Metallicity	[ucd=phys.abund.Fe]
#Column	U-B	(F7.3)	(U-B) colour (energy-weighted)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F7.3)	(B-V) colour (energy-weighted)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-R	(F7.3)	(V-R) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F7.3)	(V-I) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	V-K	(F7.3)	(V-K) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	R-I	(F7.3)	(R-I) colour (energy-weighted)	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	J-H	(F7.3)	(J-H) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.H]
#Column	J-K	(F7.3)	(J-K) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.K]
#Column	J-L	(F7.3)	(J-L) colour (energy-weighted)	[ucd=phot.color;em.opt.R;em.opt.I]
Teff;logg;[Fe/H];U-B;B-V;V-R;V-I;V-K;R-I;J-H;J-K;J-L
  3000; -0.29;-0.1;  0.363;  1.417;  1.797;  4.136;  8.324;  2.339;  0.990;  1.371;  1.617
  3000;  0.28;-0.1;  0.363;  1.414;  1.640;  3.904;  7.709;  2.264;  0.998;  1.324;  1.517
  3000;  0.60;-0.1;  0.363;  1.413;  1.555;  3.774;  7.382;  2.220;  0.991;  1.288;  1.461
  3000;  4.00;-0.1;  1.651;  1.860;  1.504;  3.215;  6.017;  1.710;  0.595;  0.896;  1.167
  3000;  5.00;-0.1;  1.554;  1.767;  1.473;  3.245;  5.898;  1.773;  0.590;  0.912;  1.186
  3000;  5.50;-0.1;  1.498;  1.767;  1.468;  3.262;  5.870;  1.794;  0.604;  0.922;  1.196
  3200; -0.70;-0.1;  0.942;  1.426;  1.695;  4.066;  7.999;  2.371;  0.926;  1.325;  1.580
  3200; -0.51;-0.1;  0.942;  1.422;  1.567;  3.893;  7.759;  2.326;  0.940;  1.327;  1.577
  3200; -0.29;-0.1;  0.942;  1.418;  1.424;  3.693;  7.481;  2.269;  0.957;  1.330;  1.573
  3200;  0.28;-0.1;  0.942;  1.408;  1.113;  3.229;  6.821;  2.116;  0.988;  1.329;  1.558
  3200;  0.60;-0.1;  0.942;  1.404;  0.992;  3.035;  6.535;  2.043;  0.991;  1.318;  1.543
  3200;  3.50;-0.1;  1.399;  1.485;  1.413;  3.086;  6.084;  1.673;  0.775;  0.890;  0.991
  3200;  4.00;-0.1;  1.433;  1.565;  1.328;  2.906;  5.554;  1.578;  0.676;  0.889;  1.071
  3200;  4.50;-0.1;  1.412;  1.580;  1.279;  2.815;  5.265;  1.536;  0.622;  0.876;  1.090
  3200;  5.00;-0.1;  1.367;  1.568;  1.250;  2.781;  5.126;  1.532;  0.598;  0.869;  1.094
  3200;  5.50;-0.1;  1.321;  1.591;  1.228;  2.751;  5.024;  1.523;  0.597;  0.877;  1.112
  3350; -0.51;-0.1;  1.299;  1.529;  1.346;  3.418;  6.747;  2.072;  0.898;  1.247;  1.483
  3350; -0.29;-0.1;  1.299;  1.520;  1.246;  3.264;  6.563;  2.017;  0.917;  1.254;  1.485
  3350;  0.28;-0.1;  1.299;  1.501;  1.032;  2.911;  6.143;  1.879;  0.962;  1.269;  1.486
  3350;  0.60;-0.1;  1.299;  1.498;  0.996;  2.859;  6.091;  1.862;  0.973;  1.268;  1.481
  3350;  0.87;-0.1;  1.299;  1.495;  0.966;  2.813;  6.044;  1.847;  0.983;  1.267;  1.477
  3350;  4.00;-0.1;  1.332;  1.396;  1.239;  2.728;  5.283;  1.490;  0.742;  0.896;  1.026
  3350;  5.00;-0.1;  1.234;  1.486;  1.123;  2.447;  4.589;  1.324;  0.616;  0.857;  1.062
  3350;  5.50;-0.1;  1.167;  1.497;  1.103;  2.410;  4.464;  1.307;  0.593;  0.848;  1.067
  3500;  0.00;-0.1;  1.902;  1.785;  1.127;  2.681;  5.464;  1.554;  0.863;  1.173;  1.374
  3500;  0.50;-0.1;  1.683;  1.660;  1.087;  2.654;  5.478;  1.567;  0.883;  1.179;  1.375
  3500;  1.00;-0.1;  1.461;  1.540;  1.057;  2.640;  5.505;  1.583;  0.896;  1.179;  1.372
  3500;  1.50;-0.1;  1.251;  1.425;  1.036;  2.637;  5.542;  1.601;  0.906;  1.177;  1.368
  3500;  2.00;-0.1;  1.069;  1.320;  1.023;  2.641;  5.585;  1.619;  0.911;  1.173;  1.362
  3500;  2.50;-0.1;  0.927;  1.234;  1.018;  2.652;  5.624;  1.634;  0.911;  1.168;  1.356
  3500;  3.00;-0.1;  1.208;  1.392;  0.940;  2.167;  4.671;  1.228;  0.925;  1.040;  1.093
  3500;  3.50;-0.1;  1.148;  1.431;  0.965;  2.146;  4.415;  1.181;  0.812;  0.958;  1.055
  3500;  4.00;-0.1;  1.111;  1.459;  0.989;  2.135;  4.202;  1.146;  0.699;  0.883;  1.023
  3500;  4.50;-0.1;  1.111;  1.480;  1.015;  2.146;  4.116;  1.132;  0.652;  0.853;  1.011
  3500;  5.00;-0.1;  1.151;  1.505;  1.044;  2.171;  4.089;  1.126;  0.636;  0.844;  1.007
  3750;  0.00;-0.1;  2.297;  1.760;  1.034;  2.026;  4.203;  0.992;  0.779;  1.033;  1.197
  3750;  0.50;-0.1;  2.073;  1.673;  1.012;  2.004;  4.195;  0.992;  0.808;  1.051;  1.208
  3750;  1.00;-0.1;  1.857;  1.595;  0.994;  1.990;  4.197;  0.996;  0.828;  1.061;  1.214
  3750;  1.50;-0.1;  1.662;  1.523;  0.978;  1.981;  4.206;  1.003;  0.843;  1.066;  1.216
  3750;  2.00;-0.1;  1.493;  1.457;  0.965;  1.977;  4.222;  1.012;  0.852;  1.068;  1.215
  3750;  2.50;-0.1;  1.356;  1.398;  0.955;  1.977;  4.243;  1.022;  0.856;  1.067;  1.212
  3750;  3.00;-0.1;  1.503;  1.443;  0.877;  1.815;  3.994;  0.938;  0.881;  0.982;  1.039
  3750;  3.50;-0.1;  1.410;  1.426;  0.886;  1.829;  3.975;  0.944;  0.857;  0.965;  1.028
  3750;  4.00;-0.1;  1.311;  1.435;  0.908;  1.845;  3.850;  0.937;  0.770;  0.903;  1.001
  3750;  4.50;-0.1;  1.237;  1.436;  0.924;  1.854;  3.726;  0.930;  0.672;  0.840;  0.976
  3750;  5.00;-0.1;  1.202;  1.432;  0.937;  1.865;  3.669;  0.928;  0.621;  0.807;  0.963
  4000;  0.00;-0.1;  2.211;  1.623;  0.845;  1.575;  3.458;  0.730;  0.674;  0.865;  1.006
  4000;  0.50;-0.1;  2.003;  1.547;  0.833;  1.561;  3.450;  0.728;  0.706;  0.888;  1.022
  4000;  1.00;-0.1;  1.810;  1.482;  0.828;  1.557;  3.449;  0.729;  0.730;  0.905;  1.033
  4000;  1.50;-0.1;  1.644;  1.426;  0.827;  1.558;  3.455;  0.731;  0.750;  0.918;  1.042
  4000;  2.00;-0.1;  1.506;  1.380;  0.828;  1.563;  3.465;  0.734;  0.764;  0.927;  1.047
  4000;  2.50;-0.1;  1.399;  1.341;  0.831;  1.569;  3.479;  0.738;  0.774;  0.932;  1.050
  4000;  3.00;-0.1;  1.492;  1.378;  0.822;  1.586;  3.317;  0.764;  0.758;  0.864;  0.944
  4000;  3.50;-0.1;  1.432;  1.358;  0.828;  1.598;  3.337;  0.770;  0.759;  0.865;  0.942
  4000;  4.00;-0.1;  1.369;  1.352;  0.840;  1.619;  3.333;  0.779;  0.740;  0.851;  0.934
  4000;  4.50;-0.1;  1.278;  1.355;  0.854;  1.640;  3.266;  0.787;  0.674;  0.806;  0.916
  4000;  5.00;-0.1;  1.195;  1.349;  0.861;  1.651;  3.185;  0.790;  0.594;  0.755;  0.898
  4250;  0.00;-0.1;  1.930;  1.505;  0.747;  1.352;  2.966;  0.604;  0.582;  0.745;  0.874
  4250;  0.50;-0.1;  1.763;  1.436;  0.732;  1.334;  2.959;  0.602;  0.611;  0.768;  0.889
  4250;  1.00;-0.1;  1.602;  1.376;  0.725;  1.328;  2.957;  0.603;  0.633;  0.785;  0.901
  4250;  1.50;-0.1;  1.461;  1.324;  0.724;  1.329;  2.962;  0.605;  0.653;  0.800;  0.911
  4250;  2.00;-0.1;  1.346;  1.280;  0.728;  1.336;  2.971;  0.608;  0.669;  0.813;  0.918
  4250;  2.50;-0.1;  1.262;  1.245;  0.735;  1.346;  2.983;  0.611;  0.681;  0.822;  0.924
  4250;  3.00;-0.1;  1.268;  1.272;  0.689;  1.313;  2.920;  0.624;  0.641;  0.745;  0.849
  4250;  3.50;-0.1;  1.237;  1.255;  0.702;  1.329;  2.939;  0.627;  0.648;  0.751;  0.852
  4250;  4.00;-0.1;  1.224;  1.248;  0.717;  1.348;  2.960;  0.631;  0.651;  0.755;  0.852
  4250;  4.50;-0.1;  1.202;  1.250;  0.733;  1.371;  2.966;  0.639;  0.638;  0.746;  0.847
  4250;  5.00;-0.1;  1.137;  1.254;  0.744;  1.393;  2.930;  0.650;  0.591;  0.715;  0.836
  4500;  0.00;-0.1;  1.643;  1.430;  0.624;  1.152;  2.638;  0.528;  0.485;  0.601;  0.743
  4500;  0.50;-0.1;  1.518;  1.373;  0.606;  1.130;  2.633;  0.524;  0.508;  0.620;  0.754
  4500;  1.00;-0.1;  1.396;  1.324;  0.596;  1.119;  2.632;  0.523;  0.526;  0.636;  0.764
  4500;  1.50;-0.1;  1.287;  1.280;  0.590;  1.115;  2.635;  0.525;  0.542;  0.650;  0.773
  4500;  2.00;-0.1;  1.195;  1.242;  0.590;  1.117;  2.642;  0.528;  0.556;  0.662;  0.780
  4500;  2.50;-0.1;  1.123;  1.208;  0.593;  1.124;  2.652;  0.531;  0.568;  0.673;  0.786
  4500;  3.00;-0.1;  1.075;  1.181;  0.600;  1.134;  2.665;  0.534;  0.578;  0.681;  0.791
  4500;  3.50;-0.1;  1.053;  1.161;  0.611;  1.147;  2.681;  0.536;  0.587;  0.689;  0.794
  4500;  4.00;-0.1;  1.051;  1.151;  0.626;  1.164;  2.700;  0.538;  0.592;  0.695;  0.797
  4500;  4.50;-0.1;  1.065;  1.148;  0.643;  1.184;  2.720;  0.541;  0.596;  0.699;  0.797
  4500;  5.00;-0.1;  1.073;  1.153;  0.661;  1.208;  2.731;  0.547;  0.588;  0.694;  0.795
  4750;  0.00;-0.1;  1.301;  1.264;  0.549;  1.002;  2.340;  0.453;  0.445;  0.547;  0.674
  4750;  0.50;-0.1;  1.202;  1.218;  0.533;  0.980;  2.338;  0.446;  0.464;  0.564;  0.683
  4750;  1.00;-0.1;  1.108;  1.178;  0.522;  0.966;  2.339;  0.444;  0.478;  0.577;  0.690
  4750;  1.50;-0.1;  1.026;  1.143;  0.515;  0.958;  2.342;  0.443;  0.491;  0.589;  0.697
  4750;  2.00;-0.1;  0.958;  1.113;  0.511;  0.955;  2.348;  0.444;  0.502;  0.599;  0.703
  4750;  2.50;-0.1;  0.904;  1.086;  0.509;  0.956;  2.355;  0.446;  0.512;  0.609;  0.708
  4750;  3.00;-0.1;  0.868;  1.062;  0.512;  0.960;  2.364;  0.448;  0.522;  0.617;  0.712
  4750;  3.50;-0.1;  0.849;  1.043;  0.518;  0.968;  2.376;  0.450;  0.530;  0.624;  0.715
  4750;  4.00;-0.1;  0.850;  1.029;  0.528;  0.980;  2.390;  0.452;  0.536;  0.631;  0.718
  4750;  4.50;-0.1;  0.867;  1.020;  0.542;  0.996;  2.408;  0.454;  0.542;  0.636;  0.719
  4750;  5.00;-0.1;  0.894;  1.019;  0.558;  1.014;  2.426;  0.456;  0.545;  0.639;  0.719
  5000;  0.00;-0.1;  0.964;  1.091;  0.501;  0.926;  2.070;  0.425;  0.401;  0.494;  0.607
  5000;  0.50;-0.1;  0.879;  1.054;  0.489;  0.908;  2.075;  0.419;  0.419;  0.509;  0.615
  5000;  1.00;-0.1;  0.801;  1.022;  0.480;  0.896;  2.080;  0.416;  0.434;  0.522;  0.621
  5000;  1.50;-0.1;  0.734;  0.996;  0.473;  0.888;  2.084;  0.414;  0.444;  0.532;  0.626
  5000;  2.00;-0.1;  0.678;  0.973;  0.469;  0.884;  2.089;  0.414;  0.452;  0.540;  0.631
  5000;  2.50;-0.1;  0.638;  0.954;  0.467;  0.881;  2.096;  0.414;  0.461;  0.548;  0.634
  5000;  3.00;-0.1;  0.611;  0.938;  0.466;  0.881;  2.103;  0.415;  0.469;  0.555;  0.637
  5000;  3.50;-0.1;  0.598;  0.923;  0.468;  0.883;  2.111;  0.416;  0.477;  0.561;  0.640
  5000;  4.00;-0.1;  0.601;  0.912;  0.473;  0.889;  2.121;  0.416;  0.483;  0.567;  0.642
  5000;  4.50;-0.1;  0.619;  0.904;  0.481;  0.899;  2.133;  0.418;  0.489;  0.572;  0.643
  5000;  5.00;-0.1;  0.648;  0.900;  0.493;  0.912;  2.147;  0.419;  0.493;  0.576;  0.644
  5250;  0.00;-0.1;  0.698;  0.926;  0.459;  0.862;  1.885;  0.403;  0.370;  0.463;  0.567
  5250;  0.50;-0.1;  0.629;  0.900;  0.452;  0.853;  1.897;  0.401;  0.389;  0.478;  0.573
  5250;  1.00;-0.1;  0.562;  0.876;  0.446;  0.845;  1.906;  0.399;  0.403;  0.489;  0.578
  5250;  1.50;-0.1;  0.503;  0.856;  0.442;  0.840;  1.914;  0.398;  0.414;  0.498;  0.582
  5250;  2.00;-0.1;  0.453;  0.840;  0.439;  0.837;  1.920;  0.398;  0.423;  0.505;  0.586
  5250;  2.50;-0.1;  0.415;  0.828;  0.437;  0.834;  1.927;  0.397;  0.430;  0.511;  0.588
  5250;  3.00;-0.1;  0.391;  0.818;  0.436;  0.833;  1.934;  0.398;  0.437;  0.517;  0.590
  5250;  3.50;-0.1;  0.380;  0.809;  0.436;  0.833;  1.940;  0.397;  0.444;  0.522;  0.592
  5250;  4.00;-0.1;  0.383;  0.804;  0.438;  0.835;  1.947;  0.397;  0.450;  0.527;  0.593
  5250;  4.50;-0.1;  0.400;  0.800;  0.442;  0.840;  1.955;  0.398;  0.455;  0.531;  0.594
  5250;  5.00;-0.1;  0.428;  0.798;  0.449;  0.847;  1.964;  0.398;  0.459;  0.534;  0.594
  5500;  0.00;-0.1;  0.525;  0.766;  0.403;  0.772;  1.655;  0.369;  0.318;  0.405;  0.506
  5500;  0.50;-0.1;  0.459;  0.763;  0.407;  0.779;  1.680;  0.372;  0.333;  0.419;  0.511
  5500;  1.00;-0.1;  0.402;  0.748;  0.405;  0.778;  1.695;  0.373;  0.348;  0.430;  0.515
  5500;  1.50;-0.1;  0.348;  0.736;  0.403;  0.778;  1.706;  0.374;  0.359;  0.438;  0.519
  5500;  2.00;-0.1;  0.300;  0.726;  0.402;  0.778;  1.716;  0.375;  0.368;  0.445;  0.522
  5500;  2.50;-0.1;  0.263;  0.719;  0.402;  0.778;  1.724;  0.376;  0.375;  0.451;  0.524
  5500;  3.00;-0.1;  0.235;  0.714;  0.401;  0.777;  1.732;  0.376;  0.383;  0.457;  0.526
  5500;  3.50;-0.1;  0.220;  0.711;  0.401;  0.777;  1.739;  0.376;  0.390;  0.461;  0.527
  5500;  4.00;-0.1;  0.218;  0.709;  0.402;  0.778;  1.745;  0.376;  0.395;  0.465;  0.527
  5500;  4.50;-0.1;  0.228;  0.710;  0.404;  0.780;  1.750;  0.376;  0.400;  0.468;  0.527
  5500;  5.00;-0.1;  0.252;  0.712;  0.409;  0.784;  1.756;  0.376;  0.404;  0.470;  0.527
  5750;  0.00;-0.1;  0.430;  0.618;  0.331;  0.644;  1.418;  0.313;  0.274;  0.342;  0.435
  5750;  0.50;-0.1;  0.359;  0.620;  0.342;  0.664;  1.451;  0.323;  0.287;  0.354;  0.442
  5750;  1.00;-0.1;  0.284;  0.633;  0.353;  0.685;  1.479;  0.332;  0.294;  0.365;  0.449
  5750;  1.50;-0.1;  0.234;  0.627;  0.355;  0.689;  1.496;  0.334;  0.306;  0.374;  0.451
  5750;  2.00;-0.1;  0.187;  0.623;  0.356;  0.693;  1.509;  0.337;  0.315;  0.381;  0.454
  5750;  2.50;-0.1;  0.147;  0.622;  0.357;  0.696;  1.521;  0.339;  0.323;  0.387;  0.456
  5750;  3.00;-0.1;  0.114;  0.621;  0.357;  0.698;  1.530;  0.341;  0.331;  0.393;  0.457
  5750;  3.50;-0.1;  0.092;  0.622;  0.358;  0.699;  1.538;  0.342;  0.338;  0.397;  0.458
  5750;  4.00;-0.1;  0.081;  0.624;  0.359;  0.701;  1.545;  0.342;  0.344;  0.400;  0.458
  5750;  4.50;-0.1;  0.082;  0.627;  0.360;  0.702;  1.550;  0.342;  0.349;  0.403;  0.458
  5750;  5.00;-0.1;  0.096;  0.632;  0.363;  0.705;  1.554;  0.342;  0.353;  0.404;  0.457
  6000;  0.00;-0.1;  0.384;  0.497;  0.270;  0.531;  1.252;  0.261;  0.241;  0.304;  0.396
  6000;  0.50;-0.1;  0.339;  0.507;  0.280;  0.549;  1.287;  0.269;  0.256;  0.316;  0.399
  6000;  1.00;-0.1;  0.274;  0.513;  0.292;  0.572;  1.318;  0.280;  0.264;  0.326;  0.406
  6000;  1.50;-0.1;  0.198;  0.539;  0.309;  0.601;  1.351;  0.292;  0.269;  0.335;  0.412
  6000;  2.00;-0.1;  0.152;  0.540;  0.312;  0.609;  1.368;  0.297;  0.278;  0.343;  0.414
  6000;  2.50;-0.1;  0.108;  0.543;  0.315;  0.615;  1.383;  0.300;  0.287;  0.349;  0.416
  6000;  3.00;-0.1;  0.070;  0.547;  0.317;  0.620;  1.396;  0.303;  0.295;  0.355;  0.417
  6000;  3.50;-0.1;  0.040;  0.551;  0.319;  0.624;  1.406;  0.306;  0.302;  0.359;  0.418
  6000;  4.00;-0.1;  0.019;  0.556;  0.320;  0.627;  1.414;  0.307;  0.309;  0.363;  0.418
  6000;  4.50;-0.1;  0.009;  0.561;  0.322;  0.630;  1.420;  0.308;  0.315;  0.366;  0.418
  6000;  5.00;-0.1;  0.011;  0.569;  0.324;  0.633;  1.424;  0.309;  0.319;  0.367;  0.417
  6250;  0.50;-0.1;  0.333;  0.407;  0.227;  0.448;  1.078;  0.222;  0.214;  0.265;  0.342
  6250;  1.00;-0.1;  0.288;  0.424;  0.239;  0.470;  1.109;  0.231;  0.223;  0.274;  0.346
  6250;  1.50;-0.1;  0.226;  0.438;  0.252;  0.496;  1.140;  0.243;  0.228;  0.282;  0.353
  6250;  2.00;-0.1;  0.149;  0.469;  0.271;  0.528;  1.175;  0.257;  0.233;  0.291;  0.358
  6250;  2.50;-0.1;  0.105;  0.475;  0.276;  0.538;  1.193;  0.263;  0.242;  0.297;  0.359
  6250;  3.00;-0.1;  0.063;  0.482;  0.279;  0.547;  1.209;  0.267;  0.250;  0.303;  0.361
  6250;  3.50;-0.1;  0.025;  0.490;  0.283;  0.554;  1.222;  0.271;  0.257;  0.308;  0.361
  6250;  4.00;-0.1; -0.006;  0.497;  0.285;  0.559;  1.233;  0.274;  0.265;  0.312;  0.362
  6250;  4.50;-0.1; -0.027;  0.505;  0.287;  0.563;  1.241;  0.276;  0.272;  0.315;  0.362
  6250;  5.00;-0.1; -0.038;  0.513;  0.290;  0.567;  1.247;  0.278;  0.277;  0.317;  0.362
  6500;  0.50;-0.1;  0.307;  0.308;  0.176;  0.354;  0.871;  0.178;  0.168;  0.210;  0.283
  6500;  1.00;-0.1;  0.290;  0.333;  0.189;  0.375;  0.905;  0.186;  0.178;  0.219;  0.282
  6500;  1.50;-0.1;  0.243;  0.358;  0.203;  0.400;  0.934;  0.197;  0.183;  0.226;  0.287
  6500;  2.00;-0.1;  0.176;  0.381;  0.219;  0.432;  0.967;  0.212;  0.187;  0.234;  0.296
  6500;  2.50;-0.1;  0.105;  0.412;  0.237;  0.463;  1.002;  0.226;  0.193;  0.242;  0.298
  6500;  3.00;-0.1;  0.060;  0.423;  0.243;  0.475;  1.021;  0.232;  0.202;  0.248;  0.300
  6500;  3.50;-0.1;  0.016;  0.432;  0.248;  0.486;  1.038;  0.238;  0.210;  0.254;  0.300
  6500;  4.00;-0.1; -0.022;  0.442;  0.252;  0.494;  1.052;  0.242;  0.218;  0.258;  0.301
  6500;  4.50;-0.1; -0.054;  0.451;  0.255;  0.501;  1.063;  0.246;  0.225;  0.262;  0.302
  6500;  5.00;-0.1; -0.078;  0.460;  0.258;  0.506;  1.071;  0.249;  0.231;  0.264;  0.302
  6750;  0.50;-0.1;  0.282;  0.233;  0.134;  0.278;  0.687;  0.144;  0.126;  0.162;  0.235
  6750;  1.00;-0.1;  0.290;  0.248;  0.145;  0.297;  0.720;  0.152;  0.135;  0.170;  0.232
  6750;  1.50;-0.1;  0.268;  0.279;  0.159;  0.321;  0.750;  0.162;  0.141;  0.177;  0.232
  6750;  2.00;-0.1;  0.218;  0.309;  0.174;  0.348;  0.779;  0.174;  0.145;  0.184;  0.239
  6750;  2.50;-0.1;  0.149;  0.337;  0.192;  0.383;  0.815;  0.191;  0.148;  0.191;  0.248
  6750;  3.00;-0.1;  0.079;  0.369;  0.209;  0.414;  0.850;  0.204;  0.157;  0.199;  0.247
  6750;  3.50;-0.1;  0.032;  0.382;  0.216;  0.427;  0.870;  0.212;  0.165;  0.205;  0.249
  6750;  4.00;-0.1; -0.013;  0.393;  0.221;  0.439;  0.888;  0.218;  0.174;  0.210;  0.250
  6750;  4.50;-0.1; -0.055;  0.403;  0.226;  0.449;  0.903;  0.223;  0.182;  0.214;  0.252
  6750;  5.00;-0.1; -0.090;  0.413;  0.230;  0.457;  0.915;  0.228;  0.189;  0.217;  0.253
